direction,mode,street_side_code,year,tooltip_text:_aadt_(for_color),tooltip_text:_combined_aadt_(for_color),cmpl1_incmpl0,station_id_tmg,tooltip_side_of_street,"tooltip_text:_""_adt""_(for_color)",aadt_rounded,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27,unnamed:_28
Northbound,Pedestrians Only,,2015,,,0,DA0018,,ADT,741,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2015,,,0,DA0018,,ADT,211,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2015,,,0,DA0018,,ADT,750,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2015,,,0,DA0018,,ADT,239,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2015,,,0,DA0018,,ADT,1491,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2015,,,0,DA0018,,ADT,450,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2016,AADT,,1,DA0018,,,751,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2016,AADT,,1,DA0018,,,196,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2016,AADT,,1,DA0018,,,734,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2016,AADT,,1,DA0018,,,218,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2016,,AADT,1,DA0018,,,1485,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2016,,AADT,1,DA0018,,,414,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2017,AADT,,1,DA0018,,,890,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2017,AADT,,1,DA0018,,,228,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2017,AADT,,1,DA0018,,,863,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2017,AADT,,1,DA0018,,,234,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2017,,AADT,1,DA0018,,,1753,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2017,,AADT,1,DA0018,,,462,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2018,,,0,DA0018,,ADT,722,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2018,,,0,DA0018,,ADT,215,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2018,,,0,DA0018,,ADT,674,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2018,,,0,DA0018,,ADT,240,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2018,,,0,DA0018,,ADT,1396,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2018,,,0,DA0018,,ADT,455,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2019,,,0,DA0018,,ADT,595,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2019,,,0,DA0018,,ADT,93,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2019,,,0,DA0018,,ADT,607,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2019,,,0,DA0018,,ADT,115,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2019,,,0,DA0018,,ADT,1202,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2019,,,0,DA0018,,ADT,208,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2020,,,0,DA0018,,ADT,1029,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2020,,,0,DA0018,,ADT,215,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2020,,,0,DA0018,,ADT,964,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2020,,,0,DA0018,,ADT,217,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2020,,,0,DA0018,,ADT,1993,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2020,,,0,DA0018,,ADT,432,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2021,,,0,DA0018,,ADT,883,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2021,,,0,DA0018,,ADT,196,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2021,,,0,DA0018,,ADT,822,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2021,,,0,DA0018,,ADT,222,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2021,,,0,DA0018,,ADT,1705,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2021,,,0,DA0018,,ADT,418,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2022,AADT,,1,DA0018,,,450,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2022,AADT,,1,DA0018,,,151,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2022,,,0,DA0018,,ADT,1467,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2022,AADT,,1,DA0018,,,244,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2022,,,*,DA0018,,ADT,1917,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2022,,AADT,1,DA0018,,,395,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2023,,,0,DA0018,,ADT,939,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2023,AADT,,1,DA0018,,,161,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2023,,,0,DA0018,,ADT,921,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2023,AADT,,1,DA0018,,,201,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2023,,,0,DA0018,,ADT,1860,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2023,,AADT,1,DA0018,,,362,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2024,,,0,DA0018,,ADT,1402,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2024,,,0,DA0018,,ADT,201,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2024,,,0,DA0018,,ADT,1199,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2024,,,0,DA0018,,ADT,203,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2024,,,0,DA0018,,ADT,2601,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2024,,,0,DA0018,,ADT,404,,,,,,,,,,,,,,,,,,
Northbound,Pedestrians Only,,2025,,,0,DA0018,,ADT,1184,,,,,,,,,,,,,,,,,,
Northbound,Bicycles Only,,2025,ERROR,,,,,,,,,,,,,,,,,,,,,,,,
Southbound,Pedestrians Only,,2025,,,0,DA0018,,ADT,1374,,,,,,,,,,,,,,,,,,
Southbound,Bicycles Only,,2025,ERROR,,,,,,,,,,,,,,,,,,,,,,,,
,Pedestrians Only,,2025,,,0,DA0018,,ADT,2558,,,,,,,,,,,,,,,,,,
,Bicycles Only,,2025,,,,,,,,,,,,,,,,,,,,,,,,,
Tooltip Side of Street,Station Id Tmg,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
Tooltip Side of Street,Station Id Tmg,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
(East Side of Street),All non-motorized traffic,All Directions,East Side,24,16,12,12,5,1,2,3,3,6,2,6,7,12,16,12,8,27,20,29,20,22,25,26,
(North Side of Street),Bicycles Only,Westbound,North Side,0,0,0,0,0,0,1,1,0,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,
(North Side of Street),Bicycles Only,Eastbound (Wrong Way),North Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
(North Side of Street),All non-motorized traffic,All Directions,North Side,13,8,4,3,4,7,15,28,54,43,27,23,13,14,9,16,11,22,27,65,87,90,76,21,
,DA0018,Pedestrians Only,Northbound,,2,1,1,1,1,6,30,66,82,85,89,87,88,76,68,69,84,127,143,109,65,24,10,5
,DA0018,Bicycles Only,Northbound,,1,1,1,1,1,2,4,9,11,12,12,12,12,11,11,11,12,13,13,12,9,5,3,1
,DA0013,Pedestrians Only,Northbound,,0,0,0,0,0,1,4,7,7,6,5,5,4,4,4,4,6,7,7,7,5,2,1,0
,DA0013,Bicycles Only,Northbound,,1,1,1,1,1,1,3,6,9,9,10,10,9,9,9,8,8,10,9,8,5,3,2,1
(Northwest Side of Street),Bicycles Only,Northeastbound,Northwest Side,0,0,0,0,0,0,0,3,2,2,1,1,1,1,1,1,1,1,2,1,2,0,0,0,
(Northwest Side of Street),Bicycles Only,Southwestbound,Northwest Side,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,
(South Side of Street),Bicycles Only,Eastbound,South Side,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,
(South Side of Street),Bicycles Only,Westbound (Wrong Way),South Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(South Side of Street),Bicycles Only,Eastbound,South Side,0,0,0,0,0,0,1,1,3,3,1,2,3,3,2,1,1,1,3,2,3,1,0,0,
(South Side of Street),Bicycles Only,Westbound (Wrong Way),South Side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(South Side of Street),All non-motorized traffic,All Directions,South Side,2,2,1,1,1,1,3,3,5,5,12,14,17,19,16,14,10,5,1,3,2,2,1,2,
,DA0018,Pedestrians Only,Southbound,,2,1,1,1,1,10,35,67,75,81,82,78,77,68,64,69,88,129,117,81,41,27,16,7
,DA0018,Bicycles Only,Southbound,,2,1,1,1,2,2,5,9,11,12,13,14,13,12,13,13,15,15,14,13,10,6,4,2
,DA0013,Pedestrians Only,Southbound,,0,0,0,0,0,1,4,6,7,6,6,5,4,4,4,4,10,7,7,7,6,3,1,1
,DA0013,Bicycles Only,Southbound,,0,0,0,0,0,1,2,6,8,9,10,9,8,8,8,7,8,8,8,7,5,2,2,1
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
(North Side of Street),All non-motorized traffic,All Directions,North Side,13,8,4,3,4,7,15,28,54,43,27,23,13,14,9,16,11,22,27,65,87,90,76,21,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
,Bicycles Only,Northbound,,0,0,0,0,0,0,1,1,2,3,3,3,4,3,3,5,3,4,4,3,2,1,1,1,
,Bicycles Only,Southbound,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Bicycles Only,Northbound (Wrong Way),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Bicycles Only,Southbound (Wrong Way),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,
Tooltip Side of Street,Mode,Direction,street_side_code,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,
(South Side of Street),All non-motorized traffic,All Directions,South Side,1,0,0,0,1,0,0,1,3,3,7,7,7,12,10,7,7,5,5,6,4,3,2,3,
